pred_spend,pred_prob,CustomerID,recency,frequency,monetary_sum,spend_90_days,spend_90_days_flag
141.21437,0.35516998,12401.0,303.0,5,84.3,0.0,0.0
141.21437,0.3876584,12402.0,323.0,11,225.6,0.0,0.0
443.85175,0.61394256,12405.0,148.0,54,1710.39,0.0,0.0
443.85175,0.645237,12406.0,183.0,49,1621.25,1794.05,1.0
356.25272,0.6749481,12407.0,134.0,64,1407.3600000000001,300.76,1.0
588.0317,0.71132797,12408.0,98.0,82,2134.0499999999997,754.5,1.0
1404.9207,0.6796454,12409.0,182.0,64,6207.08,4865.59,1.0
201.81711,0.3604441,12410.0,308.0,26,693.3299999999999,0.0,0.0
217.85812,0.63094044,12412.0,137.0,45,890.74,336.14,1.0
181.77557,0.33457506,12413.0,236.0,28,563.9,194.20000000000002,1.0
181.77557,0.41178066,12414.0,217.0,18,562.41,0.0,0.0
8999.243,0.8008602,12415.0,99.0,600,102087.88,22826.649999999998,1.0
686.8152,0.7698826,12417.0,106.0,148,2816.52,832.58,1.0
201.81711,0.5150668,12418.0,112.0,34,668.58,0.0,0.0
181.77557,0.58908004,12421.0,114.0,36,628.56,178.48,1.0
217.85812,0.59190553,12422.0,95.0,39,803.5600000000001,0.0,0.0
485.443,0.73654634,12423.0,100.0,108,1650.67,208.64000000000001,1.0
443.85175,0.5796099,12424.0,162.0,30,1760.96,0.0,0.0
181.77557,0.46805656,12426.0,194.0,30,582.73,0.0,0.0
141.21437,0.47469443,12427.0,371.0,10,303.5,522.3,1.0
1743.2273,0.8008602,12428.0,120.0,279,7548.12,408.34000000000003,1.0
686.8152,0.7005221,12429.0,172.0,70,2844.88,905.52,1.0
1278.6714,0.8008602,12431.0,119.0,185,4874.57,1612.88,1.0
914.07166,0.6571877,12432.0,170.0,76,4016.66,1042.66,1.0
1749.9407,0.8008602,12433.0,91.0,228,6395.23,6980.64,1.0
141.21437,0.5104613,12434.0,260.0,16,286.25,519.89,1.0
883.111,0.48594978,12435.0,267.0,19,3978.9900000000002,3850.9,1.0
181.77557,0.49546587,12436.0,99.0,16,509.01,0.0,0.0
686.8152,0.7477073,12437.0,98.0,102,2811.41,2140.0,1.0
217.85812,0.6403797,12438.0,140.0,49,890.0699999999999,2016.78,1.0
141.21437,0.38798264,12441.0,366.0,11,173.55,0.0,0.0
677.14215,0.7470228,12444.0,121.0,105,2627.27,2378.19,1.0
141.21437,0.32435507,12447.0,243.0,26,476.49,0.0,0.0
779.37976,0.7793946,12449.0,91.0,132,2724.58,1342.71,1.0
141.21437,0.3689952,12450.0,156.0,8,197.88,0.0,0.0
1472.7367,0.53837645,12451.0,218.0,195,5307.82,3727.7,1.0
201.81711,0.5030388,12453.0,134.0,43,707.09,0.0,0.0
588.0317,0.730446,12455.0,127.0,71,2176.36,290.5,1.0
588.0317,0.71829647,12456.0,131.0,86,2265.4,915.64,1.0
237.94444,0.6040706,12457.0,233.0,25,1067.25,1295.98,1.0
141.21437,0.33333722,12458.0,284.0,19,441.92,505.48,1.0
217.85812,0.5545688,12461.0,94.0,35,826.88,0.0,0.0
217.85812,0.49292722,12462.0,303.0,40,762.11,427.48,1.0
270.8112,0.6661627,12463.0,175.0,61,985.79,358.99,1.0
217.85812,0.6558202,12464.0,106.0,21,780.55,431.5,1.0
141.21437,0.4945077,12465.0,169.0,26,440.94,301.25,1.0
201.81711,0.5755587,12468.0,187.0,38,729.5400000000001,0.0,0.0
3913.7336,0.8008602,12471.0,107.0,263,11116.4,8707.65,1.0
1301.3992,0.76424557,12472.0,138.0,249,4927.6,1644.51,1.0
356.25272,0.6539774,12473.0,114.0,65,1186.25,2752.2999999999997,1.0
1065.338,0.8008602,12474.0,98.0,247,4362.06,3013.73,1.0
686.8152,0.69107735,12476.0,141.0,117,3191.67,3624.75,1.0
2680.357,0.8008602,12477.0,100.0,199,8834.03,4385.71,1.0
588.0317,0.70815295,12480.0,143.0,114,2144.95,1136.6799999999998,1.0
914.07166,0.691115,12481.0,179.0,157,4101.76,1494.56,1.0
443.85175,0.6636239,12483.0,98.0,53,1624.06,860.9200000000001,1.0
936.7996,0.75065064,12484.0,100.0,282,3663.15,878.57,1.0
141.21437,0.38096365,12489.0,336.0,15,334.93,0.0,0.0
914.07166,0.7752291,12490.0,93.0,165,3552.59,1865.3400000000001,1.0
141.21437,0.5079547,12492.0,105.0,9,126.39000000000001,136.82,1.0
141.21437,0.49654645,12493.0,165.0,22,433.74,0.0,0.0
217.85812,0.63582206,12494.0,161.0,51,868.86,377.24,1.0
443.85175,0.5949896,12500.0,106.0,32,1773.8400000000001,2483.98,1.0
555.9931,0.41495153,12501.0,336.0,149,2169.39,0.0,0.0
914.07166,0.7330495,12502.0,95.0,147,3723.87,0.0,0.0
141.21437,0.36070284,12506.0,232.0,23,73.5,0.0,0.0
314.66153,0.5372531,12507.0,134.0,21,1304.81,0.0,0.0
141.21437,0.3876584,12509.0,284.0,7,176.5,0.0,0.0
217.85812,0.5921828,12510.0,142.0,33,982.5699999999999,0.0,0.0
181.77557,0.58908004,12513.0,112.0,35,612.29,0.0,0.0
217.85812,0.3517459,12514.0,267.0,51,1017.68,0.0,0.0
141.21437,0.38849872,12515.0,353.0,16,383.7,0.0,0.0
181.77557,0.48468354,12516.0,180.0,13,583.2,728.86,1.0
470.69714,0.7567919,12517.0,126.0,184,1538.7,964.14,1.0
141.21437,0.5215709,12518.0,110.0,18,324.83,1732.06,1.0
518.91473,0.71146566,12520.0,142.0,121,2045.85,588.41,1.0
181.77557,0.5884904,12521.0,142.0,38,599.68,0.0,0.0
270.8112,0.6261558,12523.0,107.0,63,1017.75,772.02,1.0
686.8152,0.677542,12524.0,162.0,116,3122.48,1363.24,1.0
181.77557,0.49546587,12526.0,94.0,29,520.3,796.36,1.0
141.21437,0.5149777,12527.0,294.0,15,284.92,63.790000000000006,1.0
356.25272,0.6615181,12528.0,114.0,65,1287.37,646.11,1.0
314.66153,0.624206,12530.0,123.0,46,1221.65,440.63,1.0
279.53564,0.65133655,12534.0,130.0,63,1089.18,0.0,0.0
1159.333,0.50997525,12535.0,91.0,34,716.35,0.0,0.0
780.2625,0.5830585,12539.0,262.0,230,4517.69,1050.66,1.0
2697.8577,0.8008602,12540.0,92.0,321,9246.86,4153.38,1.0
181.77557,0.4829408,12541.0,173.0,28,536.14,445.03999999999996,1.0
181.77557,0.5151619,12545.0,259.0,34,628.15,372.24,1.0
141.21437,0.36673987,12547.0,197.0,8,207.79999999999998,0.0,0.0
141.21437,0.43868452,12548.0,166.0,5,95.19999999999999,0.0,0.0
141.21437,0.38835603,12551.0,357.0,10,168.0,0.0,0.0
616.67944,0.7689204,12553.0,110.0,135,2419.59,1272.69,1.0
228.63481,0.52733654,12556.0,151.0,67,312.9,290.81,1.0
1647.9117,0.6879756,12557.0,158.0,29,9000.960000000001,2990.0,1.0
181.77557,0.33044636,12559.0,310.0,21,561.71,0.0,0.0
392.28055,0.6749481,12560.0,112.0,77,1436.31,697.7,1.0
141.21437,0.44061944,12561.0,302.0,16,238.85,0.0,0.0
485.443,0.6749481,12562.0,126.0,78,1605.23,2176.51,1.0
141.21437,0.32933214,12564.0,261.0,21,456.9,0.0,0.0
141.21437,0.3663667,12565.0,288.0,9,145.92,0.0,0.0
1743.2273,0.8008602,12567.0,96.0,365,7849.98,1551.3,1.0
618.465,0.7568511,12569.0,92.0,92,2167.68,1957.01,1.0
141.21437,0.5288862,12571.0,121.0,14,248.35,271.26,1.0
141.21437,0.37224612,12573.0,227.0,28,160.54000000000002,0.0,0.0
141.21437,0.3876584,12574.0,315.0,11,218.45,0.0,0.0
270.8112,0.6494683,12576.0,95.0,62,936.55,379.28,1.0
920.21265,0.49274778,12577.0,359.0,67,195.89,461.91,1.0
453.4044,0.57780325,12578.0,330.0,70,1608.66,1185.85,1.0
141.21437,0.32933214,12580.0,246.0,24,415.7,0.0,0.0
181.77557,0.32614496,12582.0,238.0,22,511.36,0.0,0.0
914.07166,0.7995399,12583.0,106.0,146,4232.21,3049.17,1.0
217.85812,0.6458559,12584.0,127.0,34,782.59,1555.56,1.0
485.443,0.6195496,12585.0,234.0,87,2040.1,0.0,0.0
141.21437,0.4918208,12589.0,144.0,10,131.5,515.1800000000001,1.0
1572.0728,0.39916837,12590.0,211.0,68,9864.26,0.0,0.0
141.21437,0.3343853,12591.0,317.0,26,452.84999999999997,0.0,0.0
141.21437,0.5215709,12592.0,92.0,18,437.6,0.0,0.0
141.21437,0.5215709,12593.0,108.0,21,418.09999999999997,0.0,0.0
624.34503,0.7470228,12594.0,121.0,93,2529.9,808.32,1.0
141.21437,0.48674178,12596.0,242.0,15,269.95,348.32,1.0
392.28055,0.6769369,12597.0,183.0,78,1428.81,2382.41,1.0
470.69714,0.64616287,12598.0,161.0,63,1584.3799999999999,1438.7,1.0
217.85812,0.63094044,12599.0,126.0,48,857.04,175.54000000000002,1.0
443.85175,0.72392344,12600.0,112.0,49,1936.5600000000002,662.48,1.0
181.77557,0.47867155,12601.0,189.0,28,577.0600000000001,0.0,0.0
141.21437,0.38337597,12604.0,261.0,10,178.5,75.68,1.0
217.85812,0.6381748,12609.0,186.0,43,800.73,326.12,1.0
356.25272,0.6539774,12610.0,106.0,72,1256.25,843.29,1.0
392.28055,0.6287837,12613.0,197.0,74,1462.52,1881.8600000000001,1.0
141.21437,0.33670938,12614.0,277.0,20,315.6,0.0,0.0
201.81711,0.47231686,12615.0,168.0,31,634.74,1656.45,1.0
201.81711,0.50997525,12616.0,95.0,32,713.3,0.0,0.0
546.7468,0.70593965,12619.0,116.0,39,2087.46,1553.78,1.0
181.77557,0.58393776,12620.0,204.0,33,561.66,777.75,1.0
2541.9248,0.8008602,12621.0,100.0,346,10195.04,3494.63,1.0
141.21437,0.35306147,12622.0,232.0,11,180.1,0.0,0.0
141.21437,0.40331975,12623.0,276.0,18,305.1,0.0,0.0
201.81711,0.58908004,12624.0,106.0,38,641.13,0.0,0.0
677.14215,0.49899423,12625.0,211.0,86,2683.82,0.0,0.0
1278.6714,0.8008602,12626.0,112.0,206,4774.0,1846.48,1.0
677.14215,0.7698826,12627.0,96.0,141,2727.83,1750.7,1.0
485.443,0.710583,12633.0,129.0,86,1948.75,215.23000000000002,1.0
201.81711,0.5438064,12635.0,154.0,40,683.64,1005.54,1.0
1495.4645,0.8008602,12637.0,91.0,313,5663.5,358.4,1.0
141.21437,0.32614496,12639.0,238.0,22,486.1,0.0,0.0
141.21437,0.38569888,12641.0,115.0,10,185.9,0.0,0.0
141.21437,0.5215709,12642.0,107.0,24,366.45,646.81,1.0
899.413,0.61942375,12643.0,128.0,24,3344.64,0.0,0.0
141.21437,0.50514823,12644.0,129.0,31,477.91,0.0,0.0
725.92377,0.6615181,12645.0,109.0,59,1310.8600000000001,464.32,1.0
686.8152,0.7470228,12647.0,126.0,92,2886.71,836.11,1.0
141.21437,0.49654645,12648.0,154.0,21,318.05,0.0,0.0
181.77557,0.48482484,12649.0,107.0,31,623.51,0.0,0.0
141.21437,0.36791942,12651.0,334.0,9,114.0,0.0,0.0
217.85812,0.4819025,12652.0,331.0,48,919.98,0.0,0.0
546.44037,0.68831927,12653.0,148.0,43,2209.85,0.0,0.0
141.21437,0.4922715,12654.0,197.0,22,337.75,264.23,1.0
686.8152,0.730446,12656.0,116.0,69,2820.67,1230.5,1.0
677.14215,0.7698826,12662.0,107.0,157,2653.66,1196.1200000000001,1.0
443.85175,0.65119195,12664.0,143.0,18,1957.48,2924.4,1.0
141.21437,0.35161206,12665.0,324.0,3,63.0,0.0,0.0
670.5132,0.6059442,12668.0,259.0,123,2924.4700000000003,882.6800000000001,1.0
677.14215,0.5797127,12669.0,150.0,101,2744.0299999999997,0.0,0.0
443.85175,0.6636239,12670.0,98.0,58,1634.47,1361.58,1.0
141.21437,0.3876584,12672.0,329.0,10,225.89999999999998,0.0,0.0
141.21437,0.40431696,12673.0,326.0,23,220.9,389.62,1.0
1277.4988,0.6601015,12674.0,91.0,59,1402.0,568.6,1.0
217.85812,0.59948754,12676.0,123.0,30,998.0500000000001,333.34000000000003,1.0
2103.648,0.79168725,12678.0,100.0,93,8282.26,9346.2,1.0
217.85812,0.62909895,12679.0,205.0,44,906.38,206.64000000000001,1.0
141.21437,0.5215709,12680.0,113.0,20,311.78,551.03,1.0
2541.9248,0.62916434,12681.0,151.0,474,9866.58,3920.96,1.0
2542.142,0.8008602,12682.0,100.0,355,8219.92,4068.3,1.0
1729.1354,0.8008602,12683.0,92.0,270,6622.19,1854.3799999999999,1.0
314.66153,0.6377096,12684.0,170.0,58,1379.48,904.15,1.0
515.87634,0.747668,12685.0,92.0,90,1606.42,1256.66,1.0
141.21437,0.36982954,12686.0,371.0,7,89.14,0.0,0.0
1278.6714,0.8008602,12688.0,113.0,171,4873.8099999999995,0.0,0.0
181.77557,0.5884904,12689.0,127.0,34,511.03,736.5799999999999,1.0
141.21437,0.5139478,12690.0,205.0,16,389.01,0.0,0.0
181.77557,0.55520535,12691.0,145.0,21,556.3,479.5,1.0
217.85812,0.628247,12693.0,127.0,39,855.91,0.0,0.0
141.21437,0.49654645,12694.0,183.0,20,439.5,430.17,1.0
141.21437,0.5215709,12695.0,107.0,19,333.90000000000003,248.2,1.0
201.81711,0.55608934,12697.0,131.0,29,733.91,223.68,1.0
588.0317,0.6749643,12700.0,156.0,122,2149.05,2790.94,1.0
141.21437,0.32614496,12701.0,242.0,21,337.08,460.63,1.0
237.94444,0.63708174,12704.0,105.0,50,1100.92,1239.92,1.0
914.07166,0.70742756,12705.0,158.0,206,4162.52,2705.77,1.0
181.77557,0.3733904,12707.0,291.0,33,603.42,0.0,0.0
485.443,0.7372281,12708.0,101.0,119,2031.77,681.14,1.0
1720.4996,0.7995399,12709.0,96.0,140,7230.79,2505.73,1.0
368.99353,0.5847354,12710.0,96.0,77,1149.02,0.0,0.0
914.07166,0.73062843,12712.0,106.0,114,3913.08,483.05,1.0
914.07166,0.7586217,12714.0,106.0,191,3389.7,1319.16,1.0
141.21437,0.5215709,12715.0,106.0,21,353.86,0.0,0.0
201.81711,0.5462239,12716.0,133.0,45,677.9,375.59000000000003,1.0
217.85812,0.6114856,12717.0,151.0,55,1030.98,0.0,0.0
936.7996,0.76056755,12720.0,94.0,238,3689.84,2091.89,1.0
485.443,0.70353866,12721.0,183.0,102,1698.91,957.22,1.0
217.85812,0.63749063,12722.0,114.0,50,929.65,67.98,1.0
141.21437,0.51198137,12724.0,173.0,18,280.36,751.0500000000001,1.0
141.21437,0.37385735,12725.0,371.0,24,427.8,0.0,0.0
392.28055,0.67600703,12726.0,184.0,67,1467.32,1141.78,1.0
914.07166,0.74180996,12727.0,95.0,116,3337.7,643.0,1.0
181.77557,0.4642529,12728.0,257.0,33,617.31,219.01999999999998,1.0
141.21437,0.5215709,12729.0,113.0,26,453.01,0.0,0.0
3617.0046,0.7687971,12731.0,144.0,179,11324.25,7571.66,1.0
141.21437,0.40600425,12732.0,179.0,12,236.26000000000002,0.0,0.0
141.21437,0.34451693,12733.0,234.0,22,383.95,0.0,0.0
141.21437,0.36860293,12734.0,352.0,4,110.39999999999999,0.0,0.0
217.85812,0.46646935,12735.0,315.0,43,779.5699999999999,0.0,0.0
141.21437,0.3876584,12736.0,332.0,4,234.0,0.0,0.0
141.21437,0.37596455,12738.0,372.0,11,155.35,0.0,0.0
217.85812,0.6201092,12739.0,99.0,37,975.54,37.5,1.0
234.72867,0.60121536,12743.0,134.0,134,546.43,0.0,0.0
4598.4155,0.7687971,12744.0,144.0,188,14211.970000000001,7067.32,1.0
686.8152,0.730446,12747.0,109.0,70,2769.4,1426.6100000000001,1.0
6916.447,0.8008602,12748.0,91.0,2040,14107.75,19611.98,1.0
686.8152,0.7057242,12749.0,130.0,128,2755.23,1335.65,1.0
141.21437,0.52827936,12750.0,128.0,15,275.88,0.0,0.0
3734.0906,0.80044514,12753.0,135.0,166,16620.91,4808.48,1.0
670.5132,0.4530531,12754.0,235.0,63,3010.74,0.0,0.0
710.7163,0.3177681,12755.0,280.0,4,3811.95,0.0,0.0
1472.7367,0.70822906,12757.0,142.0,122,5281.08,2576.02,1.0
686.8152,0.7470228,12758.0,116.0,97,2791.59,0.0,0.0
279.53564,0.65133655,12759.0,171.0,66,1082.52,448.92,1.0
147.30823,0.5157888,12763.0,138.0,18,494.08,0.0,0.0
411.81314,0.3601576,12764.0,316.0,45,1693.88,0.0,0.0
1301.3992,0.6553976,12766.0,149.0,227,4952.1900000000005,2037.44,1.0
237.94444,0.56408525,12769.0,238.0,32,1143.6,0.0,0.0
314.66153,0.4770049,12770.0,210.0,12,1351.45,0.0,0.0
314.66153,0.6277317,12775.0,189.0,52,1164.68,221.36,1.0
147.30823,0.48386753,12778.0,183.0,31,492.06,330.17,1.0
686.8152,0.67238736,12779.0,189.0,104,2999.41,981.95,1.0
181.77557,0.3494453,12781.0,284.0,15,549.26,277.48,1.0
518.91473,0.6319621,12782.0,149.0,89,2078.67,252.25,1.0
141.21437,0.3501012,12785.0,364.0,14,311.95,0.0,0.0
1124.8655,0.5215709,12787.0,91.0,16,344.65999999999997,119.0,1.0
141.21437,0.4922715,12790.0,192.0,21,324.92,0.0,0.0
141.21437,0.38798264,12791.0,373.0,2,192.60000000000002,0.0,0.0
141.21437,0.32753325,12792.0,256.0,25,400.53999999999996,0.0,0.0
181.77557,0.36421615,12793.0,334.0,24,545.48,0.0,0.0
141.21437,0.5215709,12794.0,98.0,20,317.0,543.41,1.0
141.21437,0.39071104,12797.0,365.0,13,254.03,0.0,0.0
443.85175,0.44945112,12798.0,170.0,6,1607.04,5370.0,1.0
141.21437,0.4945077,12802.0,186.0,25,427.58,0.0,0.0
141.21437,0.51198137,12808.0,184.0,16,281.35,202.3,1.0
147.30823,0.4945077,12809.0,177.0,25,489.31,0.0,0.0
181.77557,0.35266468,12811.0,260.0,31,514.85,0.0,0.0
141.21437,0.5236584,12814.0,101.0,2,125.92,0.0,0.0
217.85812,0.6215777,12815.0,147.0,47,1063.46,0.0,0.0
181.77557,0.49546587,12816.0,95.0,29,572.2,0.0,0.0
141.21437,0.38337597,12817.0,281.0,4,166.04,0.0,0.0
429.1059,0.4932022,12818.0,261.0,14,1542.08,0.0,0.0
141.21437,0.3876584,12820.0,326.0,11,170.46,771.88,1.0
141.21437,0.32604513,12821.0,214.0,6,92.72,0.0,0.0
314.66153,0.4767844,12823.0,127.0,4,1224.0,535.5,1.0
217.85812,0.63106537,12826.0,178.0,56,818.62,656.1,1.0
141.21437,0.5215709,12828.0,99.0,25,415.51,603.2,1.0
141.21437,0.47435388,12829.0,336.0,11,293.0,0.0,0.0
1390.8287,0.7178426,12830.0,91.0,36,6414.32,400.32000000000005,1.0
141.21437,0.38337597,12831.0,262.0,9,215.05,0.0,0.0
141.21437,0.5369541,12832.0,98.0,18,267.8,115.23,1.0
141.21437,0.5304676,12833.0,145.0,24,417.38,0.0,0.0
141.21437,0.33670938,12834.0,282.0,18,312.38,0.0,0.0
588.0317,0.7372281,12836.0,137.0,125,2112.53,500.33000000000004,1.0
141.21437,0.39736947,12837.0,173.0,12,134.1,0.0,0.0
598.3057,0.47262478,12838.0,373.0,59,390.79,292.34000000000003,1.0
717.24854,0.78081125,12839.0,92.0,182,3097.39,2494.03,1.0
677.14215,0.66091657,12840.0,143.0,113,2726.77,0.0,0.0
686.8152,0.77134234,12841.0,106.0,297,2851.44,1170.91,1.0
141.21437,0.31529596,12842.0,308.0,14,310.73,808.26,1.0
485.443,0.70353866,12843.0,159.0,102,1692.31,9.95,1.0
141.21437,0.38882294,12844.0,130.0,28,174.88,151.08,1.0
141.21437,0.32753325,12845.0,267.0,27,354.09,0.0,0.0
201.81711,0.47076812,12849.0,268.0,36,704.5,346.39,1.0
141.21437,0.5611322,12851.0,96.0,50,135.18,0.0,0.0
141.21437,0.3139761,12852.0,294.0,17,311.55,0.0,0.0
485.443,0.710583,12853.0,134.0,78,1957.1000000000001,0.0,0.0
270.8112,0.52176666,12854.0,241.0,76,810.37,514.13,1.0
141.21437,0.35228214,12855.0,372.0,3,38.1,0.0,0.0
237.94444,0.5350242,12857.0,210.0,46,1106.4,0.0,0.0
141.21437,0.47190002,12864.0,138.0,3,147.12,0.0,0.0
217.85812,0.652674,12865.0,123.0,58,981.38,586.85,1.0
181.77557,0.32753325,12866.0,283.0,26,559.12,0.0,0.0
686.8152,0.77134234,12867.0,96.0,433,3025.74,1011.08,1.0
485.443,0.63550293,12868.0,185.0,107,1607.0600000000002,0.0,0.0
141.21437,0.47615093,12871.0,207.0,4,132.0,248.64,1.0
234.72867,0.3866135,12872.0,326.0,66,599.97,0.0,0.0
141.21437,0.34213677,12873.0,282.0,4,374.0,0.0,0.0
141.21437,0.3997926,12875.0,143.0,2,343.2300000000001,0.0,0.0
201.81711,0.5755587,12876.0,196.0,34,726.43,1491.59,1.0
270.8112,0.6487912,12877.0,124.0,73,1059.23,476.54,1.0
217.85812,0.55689466,12878.0,236.0,47,854.99,0.0,0.0
3063.4524,0.5236584,12879.0,91.0,4,140.5,432.71999999999997,1.0
141.21437,0.46984857,12881.0,275.0,7,298.0,0.0,0.0
201.81711,0.58908004,12885.0,123.0,39,645.35,529.87,1.0
217.85812,0.60077035,12886.0,219.0,47,775.0,603.4,1.0
141.21437,0.3340049,12888.0,214.0,5,354.12,0.0,0.0
141.21437,0.41742808,12891.0,185.0,3,331.0,0.0,0.0
141.21437,0.46312013,12897.0,204.0,4,216.5,0.0,0.0
4667.223,0.79168725,12901.0,108.0,90,11639.470000000001,6015.07,1.0
141.21437,0.36335552,12902.0,264.0,10,138.68,0.0,0.0
141.21437,0.5346702,12904.0,172.0,32,244.69,264.89,1.0
201.81711,0.3822829,12908.0,176.0,2,750.0,0.0,0.0
392.28055,0.63379735,12909.0,201.0,65,1528.37,650.3,1.0
350.6893,0.637886,12910.0,134.0,36,1486.9,1588.14,1.0
217.85812,0.6026493,12913.0,282.0,15,866.39,1617.24,1.0
141.21437,0.529324,12915.0,148.0,22,363.65,0.0,0.0
686.8152,0.6984357,12916.0,138.0,107,3006.15,0.0,0.0
181.77557,0.4019412,12917.0,128.0,2,594.0,0.0,0.0
141.21437,0.5215709,12919.0,116.0,16,441.65,893.54,1.0
2541.9248,0.8008602,12921.0,98.0,461,10083.47,6503.62,1.0
141.21437,0.4945077,12922.0,161.0,28,405.38,0.0,0.0
201.81711,0.48265585,12924.0,198.0,15,655.27,278.43,1.0
237.94444,0.63708174,12928.0,147.0,54,1136.14,926.5600000000001,1.0
141.21437,0.36791942,12929.0,311.0,8,117.85,0.0,0.0
141.21437,0.5925287,12930.0,171.0,14,221.56,194.24,1.0
6159.284,0.7503245,12931.0,101.0,60,32530.7,9525.26,1.0
141.21437,0.6118843,12933.0,171.0,49,357.49,250.04,1.0
392.28055,0.73654634,12935.0,109.0,92,1535.34,625.36,1.0
141.21437,0.49023315,12937.0,197.0,28,428.23,1076.04,1.0
1674.7146,0.6812164,12939.0,138.0,31,7990.08,3591.72,1.0
254.77017,0.55546755,12942.0,131.0,75,683.9,0.0,0.0
141.21437,0.48106375,12944.0,354.0,14,286.95,317.56,1.0
141.21437,0.33333722,12945.0,288.0,23,462.95,0.0,0.0
485.443,0.6774223,12947.0,143.0,97,1603.99,0.0,0.0
392.28055,0.67201614,12948.0,105.0,85,1423.96,640.99,1.0
914.07166,0.7586217,12949.0,114.0,179,3449.42,717.8,1.0
201.81711,0.5875109,12951.0,173.0,45,751.78,312.29,1.0
515.87634,0.7223876,12955.0,92.0,82,1843.36,2913.8,1.0
141.21437,0.40843445,12956.0,306.0,19,108.07,0.0,0.0
485.443,0.69771934,12957.0,186.0,108,1715.29,2302.25,1.0
141.21437,0.4374008,12962.0,113.0,11,170.54000000000002,95.85000000000001,1.0
141.21437,0.39077574,12963.0,365.0,16,365.8,1490.83,1.0
411.81314,0.396683,12967.0,358.0,19,1660.9,0.0,0.0
141.21437,0.5079547,12968.0,112.0,5,135.95,0.0,0.0
141.21437,0.5309209,12970.0,322.0,8,23.8,428.44,1.0
1938.932,0.8008602,12971.0,92.0,213,8165.320000000001,3024.59,1.0
141.21437,0.44010547,12974.0,197.0,8,144.8,0.0,0.0
201.81711,0.5256302,12976.0,211.0,22,738.6,0.0,0.0
141.21437,0.4334974,12977.0,156.0,9,39.239999999999995,0.0,0.0
1404.9207,0.6249969,12980.0,157.0,20,7374.900000000001,0.0,0.0
141.21437,0.38569888,12981.0,133.0,11,187.18,185.04,1.0
141.21437,0.32435507,12982.0,242.0,28,390.54,0.0,0.0
141.21437,0.4922715,12987.0,197.0,14,304.3,254.4,1.0
234.72867,0.46654966,12988.0,292.0,92,535.32,0.0,0.0
1040.27,0.6267753,12989.0,157.0,26,4469.14,2454.9700000000003,1.0
141.21437,0.44755036,12990.0,185.0,7,263.9,145.6,1.0
141.21437,0.5215709,12991.0,112.0,22,303.56,200.2,1.0
141.21437,0.5215709,12993.0,120.0,24,372.4,42.36000000000001,1.0
201.81711,0.58908004,12994.0,120.0,41,645.47,328.95,1.0
181.77557,0.46590772,12997.0,236.0,33,608.47,618.42,1.0
141.21437,0.49023315,12999.0,196.0,28,455.88,0.0,0.0
